image_id,id,caption,image_path,question,answer
299675,328,A white square kitchen with tile floor that needs repairs,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000299675.jpg,"From the camera's perspective, which way is the refrigerator facing?",right
513461,572,"A surfer, a woman, and a child walk on the beach.",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000513461.jpg,"From the camera's perspective, which way is the serving board's nose facing?",left
18691,653,A few people sit on a dim transportation system.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000018691.jpg,"From the camera's perspective, which way is the face of the man reading the newspaper facing?",left
285579,668,"A person, protected from the rain by their umbrella, walks down the road.",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000285579.jpg,"From the camera's perspective, where is the man holding an umbrella located relative to the center of the screen?",right
266366,674,The bathroom with a toilet has an interesting sink.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000266366.jpg,"From the camera's perspective, which way is the mirror facing?",left
226658,710,"Two women preparing food in a kitchen, one at the sink and one at the table",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000226658.jpg,"From the camera's perspective, which way is the body of the person holding the bread facing?",left
293605,750,Two bicycles and a woman walking in front of a shop,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000293605.jpg,"From the camera's perspective, which way is the person facing?",right
314265,928,"A toilet, sink, bathtub with shower, mirror and cabinet
",/Users/lexha/Downloads/archive/Images/COCO_train2014_000000314265.jpg,"From the camera's perspective, which way is the cabinet facing?",right
360334,1161,A man standing in the kitchen with his arms crossed,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360334.jpg,"From the camera's perspective, which of the person's two elbows is higher?",right
360306,1450,A man working at a kitchen counter in a room illuminated by sunlight.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360306.jpg,"From the camera's perspective, is the baby biased towards the left or right side of the screen?",right
230843,1868,A young boy surfing  in low waves.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000230843.jpg,"From the camera's perspective, which way is the serving board's nose facing?",right
360306,2215,A man in shorts standing at the kitchen sink.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360306.jpg,"From the camera's perspective, on which side is the bald man, based on the center of the screenâ€”left or right?",left
360334,2418,young man with folded arms standing in the kitchen,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000360334.jpg,"From the camera's perspective, which of the person's two ears is higher?",right
213532,2519,Black and white image of two children paying attention.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000213532.jpg,"From the camera's perspective, which way are the children's faces facing?",right
517565,2898,A wooden toilet seat sits open in an empty bathroom.,/Users/lexha/Downloads/archive/Images/COCO_train2014_000000517565.jpg,"From the camera's perspective, where on the screen is the toilet located?",left
